"Transaction Date","Transaction Time","Card Number","Trans ID",Units,"Unit Cost","Net Cost","Product Description","Merchant City","Merchant State / Province","Outside of Home States","Outside of Service Area",Weekend,Holiday,"Irregular Hours","Purchase > $100","Not Unleaded Regular"
2024-07-21,21:04:00,NY1,29495099980,4.158,3.898,16.21,"Unleaded Regular","Cortlandt Manor",NY,0,0,1,0,1,0,0
2024-06-06,09:21:00,NY12,28950467560,13.12,4.579,60.08,"Unleaded Plus",Thornwood,NY,0,0,0,0,0,0,1
2024-07-01,08:22:00,NY12,29261548820,0.088,4.204,0.37,"Unleaded Plus","Mount Vernon",NY,0,0,0,0,0,0,1
2024-06-10,15:12:00,NY12,28987380390,16.577,4.798,79.55,"Unleaded Plus","Mount Kisco",NY,0,0,0,0,0,0,1
2024-06-12,09:15:00,NY12,29022903430,18.18,4.579,83.26,"Unleaded Plus",Thornwood,NY,0,0,0,0,0,0,1
2024-06-26,10:42:00,NY12,29200187830,18.91,4.499,85.09,"Unleaded Plus","Bedford Hills",NY,0,0,0,0,0,0,1
2024-06-28,13:19:00,NY12,29231845290,18.9,4.499,85.07,"Unleaded Plus","Bedford Hills",NY,0,0,0,0,0,0,1
2024-07-01,08:24:00,NY12,29261548810,0.078,4.23,0.33,"Unleaded Plus","Mount Vernon",NY,0,0,0,0,0,0,1
2024-07-01,08:52:00,NY12,29257361340,19.35,4.339,83.97,"Unleaded Plus","Mount Vernon",NY,0,0,0,0,0,0,1
2024-07-12,09:06:00,NY12,29394585450,15.757,3.998,63.01,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
2024-07-16,13:53:00,NY12,29432731690,20.13,4.499,90.6,"Unleaded Plus",Thornwood,NY,0,0,0,0,0,0,1
2024-07-17,09:08:00,NY12,29448702010,15,4.459,66.89,"Unleaded Plus",Thornwood,NY,0,0,0,0,0,0,1
2024-07-19,09:14:00,NY12,29479742330,13.48,4.459,60.14,"Unleaded Plus",Thornwood,NY,0,0,0,0,0,0,1
2024-07-26,10:31:00,NY12,29571063400,16.22,4.499,72.98,"Unleaded Plus","Bedford Hills",NY,0,0,0,0,0,0,1
2024-07-29,09:11:00,NY12,29593363480,17.85,4.399,78.53,"Unleaded Plus",Thornwood,NY,0,0,0,0,0,0,1
2024-08-01,13:13:00,NY12,29653492330,19.98,4.599,91.89,"Unleaded Plus",Bronx,NY,0,1,0,0,0,0,1
2024-08-06,12:43:00,NY12,29697627950,19.26,4.599,88.61,"Unleaded Plus",Bronx,NY,0,1,0,0,0,0,1
2024-08-09,12:47:00,NY12,29743073490,18.74,4.399,82.47,"Unleaded Plus",Thornwood,NY,0,0,0,0,0,0,1
2024-08-14,12:08:00,NY12,29800284310,17.82,4.589,81.79,"Unleaded Plus",Bronx,NY,0,1,0,0,0,0,1
2024-08-09,14:17:00,NY13,29739477020,15.612,4.499,70.24,"Unleaded Plus","North Salem",NY,0,0,0,0,0,0,1
2024-06-20,08:49:00,NY14,29133735350,13.818,3.499,48.35,"Unleaded Regular",Yonkers,NY,0,1,0,0,0,0,0
