"Transaction Date","Transaction Time","Post Date","Account Number","Card Number","Trans ID",Units,"Unit of Measure","Unit Cost","Total Fuel Cost","Total Non-Fuel Cost","Gross Cost","Net Cost","Reported Tax",Product,"Product Description","Merchant (Brand)","Merchant Name","Merchant Address","Merchant City","Merchant State / Province","Merchant Postal Code",VIN,"Tank Capacity","Driver Last Name",Hub,"Outside of Home States","Outside of Service Area",Weekend,Holiday,"Irregular Hours","Purchase > $100","Not Unleaded Regular"
2024-06-14,14:15:00,2024-06-18,REDACTED,NY1,29060194260,24.387,GA,3.519,85.82,0,85.82,85.82,-15.71,UNL,"Unleaded Regular",REDACTED,REDACTED,"733 Route 9",Fishkill,NY,12524,NY1,NULL,NY1,NY,0,0,0,0,0,0,0
2024-07-02,10:02:00,2024-07-04,REDACTED,NY1,29266966300,9.035,GA,3.899,35.23,0,35.23,35.23,-6.02,UNL,"Unleaded Regular",REDACTED,REDACTED,"2072 E Main St","Cortlandt Manor",NY,10567,NY1,NULL,NY1,NY,0,0,0,0,0,0,0
2024-07-17,13:53:00,2024-07-19,REDACTED,NY1,29455208860,23.478,GA,3.499,82.15,0,82.15,82.15,-15.31,UNL,"Unleaded Regular",REDACTED,REDACTED,"2098 E Main St","Cortlandt Manor",NY,10567-2620,NY1,NULL,NY1,NY,0,0,0,0,0,0,0
2024-07-21,21:04:00,2024-07-23,REDACTED,NY1,29495099980,4.158,GA,3.898,16.21,0,16.21,16.21,-2.77,UNL,"Unleaded Regular",REDACTED,REDACTED,"2072 E Main St","Cortlandt Manor",NY,10567,NY1,NULL,NY1,NY,0,0,1,0,1,0,0
2024-08-09,09:24:00,2024-08-13,REDACTED,NY1,29738413300,7.821,GA,3.898,30.49,0,30.49,30.49,-5.22,UNL,"Unleaded Regular",REDACTED,REDACTED,"2072 E Main St","Cortlandt Manor",NY,10567,NY1,NULL,NY1,NY,0,0,0,0,0,0,0
2024-08-15,09:52:00,2024-08-19,REDACTED,NY1,29822216530,22.477,GA,3.439,77.3,0,77.3,77.3,-14.6,UNL,"Unleaded Regular",REDACTED,REDACTED,"2098 E Main St","Cortlandt Manor",NY,10567-2620,NY1,NULL,NY1,NY,0,0,0,0,0,0,0
2024-06-22,13:59:00,2024-06-25,REDACTED,CT1,29151439060,29.105,GA,3.799,110.57,0,110.57,110.57,-12.61,UNL,"Unleaded Regular",REDACTED,REDACTED,"818 Federal Rd",Brookfield,CT,6804,CT1,NULL,CT1,CT,0,0,1,0,0,1,0
2024-07-31,11:20:00,2024-08-02,REDACTED,CT1,29631005990,25.771,GA,3.299,85.02,0,85.02,85.02,-11.16,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT1,NULL,CT1,CT,0,0,0,0,0,0,0
2024-06-06,13:49:00,2024-06-10,REDACTED,CT2,28954621540,19.479,GA,3.399,66.21,0,66.21,66.21,-8.43,UNL,"Unleaded Regular",REDACTED,REDACTED,"26 Hawleyville Rd",Newtown,CT,06470-1246,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-06-14,08:51:00,2024-06-18,REDACTED,CT2,29058576300,16.462,GA,3.319,54.64,0,54.64,54.64,-7.13,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-06-21,08:43:00,2024-06-25,REDACTED,CT2,29146473570,16.155,GA,3.278,52.97,0,52.97,52.97,-7,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-06-25,08:34:00,2024-06-27,REDACTED,CT2,29188240800,15.764,GA,3.318,52.32,0,52.32,52.32,-6.82,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-07-03,10:02:00,2024-07-05,REDACTED,CT2,29293846040,16.869,GA,3.399,57.34,0,57.34,57.34,-7.31,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-07-08,08:39:00,2024-07-10,REDACTED,CT2,29334060250,10.929,GA,3.399,37.15,0,37.15,37.15,-4.73,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-07-11,09:07:00,2024-07-15,REDACTED,CT2,29379348680,19.739,GA,3.459,68.28,0,68.28,68.28,-8.54,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-07-16,15:11:00,2024-07-18,REDACTED,CT2,29437180330,17.836,GA,3.418,60.98,0,60.98,60.98,-7.72,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-07-22,08:40:00,2024-07-24,REDACTED,CT2,29511685390,16.49,GA,3.379,55.72,0,55.72,55.72,-7.14,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-07-26,08:54:00,2024-07-30,REDACTED,CT2,29573981120,15.439,GA,3.359,51.86,0,51.86,51.86,-6.69,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-08-05,08:34:00,2024-08-07,REDACTED,CT2,29687732700,16.667,GA,3.259,54.32,0,54.32,54.32,-7.22,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-08-07,09:33:00,2024-08-09,REDACTED,CT2,29719000420,16.284,GA,3.259,53.07,0,53.07,53.07,-7.05,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-08-13,08:55:00,2024-08-15,REDACTED,CT2,29788333380,16.431,GA,3.338,54.86,0,54.86,54.86,-7.12,UNL,"Unleaded Regular",REDACTED,REDACTED,"82 Stony Hill Rd",Bethel,CT,06801-3037,CT2,NULL,CT2,CT,0,0,0,0,0,0,0
2024-06-06,06:49:00,2024-06-10,REDACTED,CT3,28956756460,12.932,GA,3.359,43.44,0,43.44,43.44,-5.6,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-06-11,06:51:00,2024-06-13,REDACTED,CT3,29013476450,15.118,GA,3.339,50.48,0,50.48,50.48,-6.55,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-06-13,07:07:00,2024-06-17,REDACTED,CT3,29045179770,9.508,GA,3.299,31.37,0,31.37,31.37,-4.12,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-06-19,07:12:00,2024-06-21,REDACTED,CT3,29117587780,13.007,GA,3.259,42.39,0,42.39,42.39,-5.63,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-06-27,06:58:00,2024-07-01,REDACTED,CT3,29222421360,14.771,GA,3.299,48.73,0,48.73,48.73,-6.39,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-01,12:55:00,2024-07-03,REDACTED,CT3,29263203180,11.136,GA,3.379,37.63,0,37.63,37.63,-4.82,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-03,12:42:00,2024-07-05,REDACTED,CT3,29293846140,10.97,GA,3.399,37.29,0,37.29,37.29,-4.75,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-10,06:40:00,2024-07-12,REDACTED,CT3,29365636710,13.471,GA,3.439,46.33,0,46.33,46.33,-5.84,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-11,12:49:00,2024-07-16,REDACTED,CT3,29387805920,10.255,GA,3.559,36.5,0,36.5,36.5,-4.44,UNL,"Unleaded Regular",REDACTED,REDACTED,"112 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-15,14:13:00,2024-07-17,REDACTED,CT3,29423050890,10.102,GA,3.399,34.34,0,34.34,34.34,-4.38,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-18,06:41:00,2024-07-22,REDACTED,CT3,29470969540,12.027,GA,3.399,40.88,0,40.88,40.88,-5.21,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-22,06:57:00,2024-07-24,REDACTED,CT3,29511685520,8.233,GA,3.379,27.82,0,27.82,27.82,-3.57,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-24,06:54:00,2024-07-29,REDACTED,CT3,29550062420,7.33,GA,3.899,28.6,0,28.6,28.6,-3.17,UNL,"Unleaded Regular",REDACTED,REDACTED,"445 N Main St",Danbury,CT,6811,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-25,12:28:00,2024-07-30,REDACTED,CT3,29564827480,10.057,GA,3.679,37,0,37,37,-4.35,UNL,"Unleaded Regular",REDACTED,REDACTED,"112 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-07-30,06:47:00,2024-08-01,REDACTED,CT3,29615095490,9.568,GA,3.339,31.95,0,31.95,31.95,-4.14,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-08-01,06:56:00,2024-08-05,REDACTED,CT3,29645414290,10.73,GA,3.299,35.4,0,35.4,35.4,-4.64,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-08-07,06:55:00,2024-08-09,REDACTED,CT3,29719000630,12.43,GA,3.259,40.51,0,40.51,40.51,-5.38,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-08-12,07:06:00,2024-08-14,REDACTED,CT3,29774982590,10.5,GA,3.259,34.22,0,34.22,34.22,-4.55,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT3,NULL,CT3,CT,0,0,0,0,0,0,0
2024-06-10,13:18:00,2024-06-12,REDACTED,CT4,28997839800,34.141,GA,3.339,114,0,114,114,-14.79,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT4,NULL,CT4,CT,0,0,0,0,0,1,0
2024-07-03,10:24:00,2024-07-08,REDACTED,CT4,29297319940,29.422,GA,3.599,105.89,0,105.89,105.89,-12.74,UNL,"Unleaded Regular",REDACTED,REDACTED,"112 Newtown Rd",Danbury,CT,6810,CT4,NULL,CT4,CT,0,0,0,0,0,1,0
2024-07-22,14:23:00,2024-07-24,REDACTED,CT4,29501264400,27.652,GA,3.799,105.05,0,105.05,105.05,-11.97,UNL,"Unleaded Regular",REDACTED,REDACTED,"818 Federal Rd",Brookfield,CT,6804,CT4,NULL,CT4,CT,0,0,0,0,0,1,0
2024-08-06,07:34:20,2024-08-07,REDACTED,CT4,29690161080,27,GA,3.398,91.77,0,91.77,91.77,-11.69,UNL,"Unleaded Regular",REDACTED,REDACTED,"106 Federal Rd",Danbury,CT,06810-4020,CT4,NULL,CT4,CT,0,0,0,0,0,0,0
2024-08-12,09:10:00,2024-08-14,REDACTED,CT4,29768872890,20.06,GA,3.539,71,0,71,71,-8.69,UNL,"Unleaded Regular",REDACTED,REDACTED,"101 Newtown Rd",Danbury,CT,06810-4120,CT4,NULL,CT4,CT,0,0,0,0,0,0,0
2024-06-07,13:02:00,2024-06-11,REDACTED,CT5,28972103350,12.279,GA,3.339,41,0,41,41,-5.32,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-06-11,13:10:00,2024-06-13,REDACTED,CT5,29013476430,12.878,GA,3.339,43,0,43,43,-5.58,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
2024-06-13,06:51:00,2024-06-17,REDACTED,CT5,29045179760,9.699,GA,3.299,32,0,32,32,-4.19,UNL,"Unleaded Regular",REDACTED,REDACTED,"110 Newtown Rd",Danbury,CT,6810,CT5,NULL,CT5,CT,0,0,0,0,0,0,0
